'2:06:56.289 PM 6/12/2018,HOME,PASS HOME / HOME,,,,,
'2:06:56.530 PM 6/12/2018,Scanner,PASS Connected / Connected,,,,,
'2:06:57.190 PM 6/12/2018,Remotes,PASS ID / Not Connected,,,,,
'2:06:57.266 PM 6/12/2018,DAQ System,PASS Serial Number / 26404559,,,,,
'2:06:57.379 PM 6/12/2018,DAQ Modules,PASS 6 / 6,,,,,
'2:06:57.727 PM 6/12/2018,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'2:06:58.502 PM 6/12/2018,Suction (inHg),PASS 15 inHg to 35 inHg / 19.3 inHg,,,,,
'2:06:59.124 PM 6/12/2018,Level Range (%),FAIL 25 to 100 / -0,,,,,
'2:06:59.326 PM 6/12/2018,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'3:33:30.453 PM 6/12/2018,HOME,PASS HOME / HOME,,,,,
'3:33:30.723 PM 6/12/2018,Scanner,PASS Connected / Connected,,,,,
'3:33:31.374 PM 6/12/2018,Remotes,PASS ID / Not Connected,,,,,
'3:33:31.454 PM 6/12/2018,DAQ System,PASS Serial Number / 26404559,,,,,
'3:33:31.568 PM 6/12/2018,DAQ Modules,PASS 6 / 6,,,,,
'3:33:31.914 PM 6/12/2018,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'3:33:32.717 PM 6/12/2018,Suction (inHg),PASS 15 inHg to 35 inHg / 16.5 inHg,,,,,
'3:33:33.311 PM 6/12/2018,Level Range (%),FAIL 25 to 100 / 0,,,,,
'3:33:33.512 PM 6/12/2018,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'6:01:04.478 PM 6/12/2018,HOME,PASS HOME / HOME,,,,,
'6:01:04.729 PM 6/12/2018,Scanner,PASS Connected / Connected,,,,,
'6:01:05.361 PM 6/12/2018,Remotes,PASS ID / Not Connected,,,,,
'6:01:05.443 PM 6/12/2018,DAQ System,PASS Serial Number / 26404559,,,,,
'6:01:05.567 PM 6/12/2018,DAQ Modules,PASS 6 / 6,,,,,
'6:01:05.897 PM 6/12/2018,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'6:01:06.697 PM 6/12/2018,Suction (inHg),PASS 15 inHg to 35 inHg / 18.7 inHg,,,,,
'6:01:07.315 PM 6/12/2018,Level Range (%),PASS 25 to 100 / 105,,,,,
'6:01:21.499 PM 6/12/2018,Vent,PASS PASS / 0.00000 / -0.00438,,,,,
'6:01:42.915 PM 6/12/2018,Pressure Build ,PASS PASS / 0.03267 / 0.27526,,,,,
'6:01:43.313 PM 6/12/2018,Pressure Sensor (PSI),PASS 22 +/- 13 / 22.5,,,,,
'6:01:47.101 PM 6/12/2018,Precool (C/min),PASS Minimum 6 / 15.0,,,,,
'6:02:01.119 PM 6/12/2018,Defrost (C/min),PASS Minimum 3 / 4.2,,,,,
